,branch_district,Branch,CalendarDate,branch_day_new_loans,branch_day_emps,branch_day_workingdays,branch_day_LPE,District,LPE,Group,Golive,PrePost,Post,Group_num
783,370.0,3515,2025-09-10,6,6.0,1,1.0,370.0,1.0,Test,2025-09-17,Pre,0,1
784,370.0,3515,2025-09-11,5,6.0,1,0.8333333333333334,370.0,0.8333333333333334,Test,2025-09-17,Pre,0,1
785,370.0,3515,2025-09-12,6,6.0,1,1.0,370.0,1.0,Test,2025-09-17,Pre,0,1
786,370.0,3515,2025-09-15,4,6.0,1,0.6666666666666666,370.0,0.6666666666666666,Test,2025-09-17,Pre,0,1
787,370.0,3515,2025-09-16,7,6.0,1,1.1666666666666667,370.0,1.1666666666666667,Test,2025-09-17,Pre,0,1
788,370.0,3515,2025-09-17,4,6.0,1,0.6666666666666666,370.0,0.6666666666666666,Test,2025-09-17,Post,1,1
789,370.0,3515,2025-09-18,3,6.0,1,0.5,370.0,0.5,Test,2025-09-17,Post,1,1
790,370.0,3515,2025-09-19,5,6.0,1,0.8333333333333334,370.0,0.8333333333333334,Test,2025-09-17,Post,1,1
791,370.0,3515,2025-09-22,3,6.0,1,0.5,370.0,0.5,Test,2025-09-17,Post,1,1
792,370.0,3523,2025-09-10,1,3.0,1,0.3333333333333333,370.0,0.3333333333333333,Test,2025-09-17,Pre,0,1
793,370.0,3523,2025-09-11,1,3.0,1,0.3333333333333333,370.0,0.3333333333333333,Test,2025-09-17,Pre,0,1
794,370.0,3523,2025-09-12,2,3.0,1,0.6666666666666666,370.0,0.6666666666666666,Test,2025-09-17,Pre,0,1
795,370.0,3523,2025-09-15,1,3.0,1,0.3333333333333333,370.0,0.3333333333333333,Test,2025-09-17,Pre,0,1
796,370.0,3523,2025-09-16,0,3.0,1,0.0,370.0,0.0,Test,2025-09-17,Pre,0,1
797,370.0,3523,2025-09-17,1,3.0,1,0.3333333333333333,370.0,0.3333333333333333,Test,2025-09-17,Post,1,1
798,370.0,3523,2025-09-18,1,3.0,1,0.3333333333333333,370.0,0.3333333333333333,Test,2025-09-17,Post,1,1
799,370.0,3523,2025-09-19,2,3.0,1,0.6666666666666666,370.0,0.6666666666666666,Test,2025-09-17,Post,1,1
800,370.0,3523,2025-09-22,3,3.0,1,1.0,370.0,1.0,Test,2025-09-17,Post,1,1
801,370.0,7832,2025-09-10,2,4.0,1,0.5,370.0,0.5,Test,2025-09-17,Pre,0,1
802,370.0,7832,2025-09-11,2,4.0,1,0.5,370.0,0.5,Test,2025-09-17,Pre,0,1
803,370.0,7832,2025-09-12,5,4.0,1,1.25,370.0,1.25,Test,2025-09-17,Pre,0,1
804,370.0,7832,2025-09-15,1,4.0,1,0.25,370.0,0.25,Test,2025-09-17,Pre,0,1
805,370.0,7832,2025-09-16,3,4.0,1,0.75,370.0,0.75,Test,2025-09-17,Pre,0,1
806,370.0,7832,2025-09-17,5,4.0,1,1.25,370.0,1.25,Test,2025-09-17,Post,1,1
807,370.0,7832,2025-09-18,3,4.0,1,0.75,370.0,0.75,Test,2025-09-17,Post,1,1
808,370.0,7832,2025-09-19,5,4.0,1,1.25,370.0,1.25,Test,2025-09-17,Post,1,1
809,370.0,7832,2025-09-22,2,4.0,1,0.5,370.0,0.5,Test,2025-09-17,Post,1,1
2916,888.0,2103,2025-09-10,3,2.0,1,1.5,888.0,1.5,Control,2025-09-17,Pre,0,0
2917,888.0,2103,2025-09-11,1,2.0,1,0.5,888.0,0.5,Control,2025-09-17,Pre,0,0
2918,888.0,2103,2025-09-12,3,2.0,1,1.5,888.0,1.5,Control,2025-09-17,Pre,0,0
2919,888.0,2103,2025-09-15,2,2.0,1,1.0,888.0,1.0,Control,2025-09-17,Pre,0,0
2920,888.0,2103,2025-09-16,3,2.0,1,1.5,888.0,1.5,Control,2025-09-17,Pre,0,0
2921,888.0,2103,2025-09-17,1,2.0,1,0.5,888.0,0.5,Control,2025-09-17,Post,1,0
2922,888.0,2103,2025-09-18,1,2.0,1,0.5,888.0,0.5,Control,2025-09-17,Post,1,0
2923,888.0,2103,2025-09-19,3,2.0,1,1.5,888.0,1.5,Control,2025-09-17,Post,1,0
2924,888.0,2103,2025-09-22,0,2.0,1,0.0,888.0,0.0,Control,2025-09-17,Post,1,0
2925,888.0,2105,2025-09-10,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Pre,0,0
2926,888.0,2105,2025-09-11,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Pre,0,0
2927,888.0,2105,2025-09-12,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Pre,0,0
2928,888.0,2105,2025-09-15,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Pre,0,0
